Frame ID,QR ID,QR 2D,QR 3D
207,15,"[[359, 132], [430, 130], [435, 201], [364, 205]]","[2.1257566265937986, -175.99081458839254, 0.8175832233102517, -2.4163298248802296]"
208,15,"[[363, 140], [434, 137], [439, 209], [368, 212]]","[2.1136814913212985, -175.79794006115534, 1.3051581618500576, -2.315911116380309]"
209,15,"[[380, 141], [451, 138], [456, 209], [385, 214]]","[2.0900686736730645, -177.26954092611933, 1.5603331298621121, -2.956759751082401]"
210,15,"[[387, 148], [459, 144], [463, 217], [392, 220]]","[2.063026012123049, -176.82515130802503, 2.2849834941346723, -2.3730452339211427]"
211,15,"[[401, 160], [473, 156], [476, 228], [406, 231]]","[2.0658577780185774, -177.66418595187739, 1.888364743325054, -2.43708661250885]"
212,15,"[[408, 163], [479, 160], [483, 231], [412, 234]]","[2.0751905009471896, -177.87239950684105, 0.009837018256789985, -2.548459679868647]"
213,15,"[[405, 160], [476, 157], [479, 229], [409, 232]]","[2.0576810377362094, -176.86636470676234, 3.4316168616806775, -1.6976003535069701]"
214,15,"[[399, 173], [470, 169], [473, 241], [404, 244]]","[2.066227933164113, -176.6777261105572, 3.7981904901303123, -2.0510124099876834]"
215,15,"[[400, 176], [471, 173], [475, 243], [404, 247]]","[2.078018433755161, -179.4444577848363, -0.5873887704505933, -3.027346995225366]"
216,15,"[[406, 163], [477, 159], [481, 230], [411, 234]]","[2.0751959628537895, -177.89502886309361, 1.595982845470203, -2.9473738492492765]"
217,15,"[[396, 152], [467, 148], [472, 220], [400, 224]]","[2.0571336607029416, -178.64938411171843, 1.6773504348178179, -2.9750335542701007]"
218,15,"[[392, 147], [463, 143], [468, 216], [397, 220]]","[2.053125630880238, -176.07356424020114, 3.76700668728294, -2.416658651642532]"
